Ref,Val,Package,PosX,PosY,Rot,Side
"","","",-6.683940,-23.238160,180.000000,bottom
"C1","GRM155R60J106ME15D","C_0402_1005Metric_L",-13.084900,-25.617120,-90.000000,bottom
"C2","GRM155R60J106ME15D","C_0402_1005Metric_L",-12.195900,-25.617120,-90.000000,bottom
"C5","GRM033R61A225ME47D","C_0201_0603Metric_L",-11.971440,-18.058160,-90.000000,bottom
"C6","GRM033R61A225ME47D","C_0201_0603Metric_L",-13.351440,-15.468160,90.000000,bottom
"C20","GRM155R60J106ME15D","C_0402_1005Metric_L",-11.305380,-25.615020,-90.000000,bottom
"C21","GRM158C80G226ME01J","C_0402_1005Metric_L",-10.039380,-33.377600,180.000000,bottom
"C24","GRM033R61A105ME15D","C_0201_0603Metric_L",-13.256260,-29.343240,-90.000000,bottom
"C25","GRM033R61A105ME15D","C_0201_0603Metric_L",-11.623040,-34.674700,0.000000,bottom
"C26","GRM033R61A105ME15D","C_0201_0603Metric_L",-13.256260,-28.228180,90.000000,bottom
"C27","GRM033R61A104ME15D","C_0201_0603Metric_L",-12.323940,-32.434160,180.000000,bottom
"C37","GRM033R61A104ME15D","C_0201_0603Metric_L",-13.357860,-31.636860,-90.000000,bottom
"C42","GRM033R71A103KA01D","C_0201_0603Metric_L",-12.323940,-31.166800,0.000000,bottom
"C43","GRM033R61A104ME15D","C_0201_0603Metric_L",-12.323940,-31.800133,0.000000,bottom
"C47","GRM033R61A225ME47D","C_0201_0603Metric_L",-13.291440,-18.368160,-90.000000,bottom
"C51","GRM033R61A104ME15D","C_0201_0603Metric_L",-6.073940,-30.304160,180.000000,bottom
"C52","GRM033R61A104ME15D","C_0201_0603Metric_L",-5.553940,-25.324160,180.000000,bottom
"L1","BLM15HD102SN1D","L_0402_1005Metric",-8.143240,-27.372200,-90.000000,bottom
"L6","LQM2HPN1R0MG0","L_1008_2520Metric_L",-7.924440,-32.891720,-90.000000,bottom
"R1","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",-10.267080,-25.446800,-90.000000,bottom
"R5","RC0201FR-076K49L","R_0201_0603Metric_ERJ_L",-11.991440,-14.678160,90.000000,bottom
"R9","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-13.357080,-32.751800,90.000000,bottom
"R10","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-12.323940,-33.066800,0.000000,bottom
"R14","ERJ-1GNF3321C","R_0201_0603Metric_ERJ_L",-8.613940,-30.269160,-90.000000,bottom
"R15","ERJ-1GNF3321C","R_0201_0603Metric_ERJ_L",-7.863940,-30.269160,-90.000000,bottom
"R18","RC-01W1962FT","R_0201_0603Metric_ERJ_L",-10.651440,-14.678160,90.000000,bottom
"R19","ERJ-1GNJ622C","R_0201_0603Metric_ERJ_L",-5.553940,-26.694160,0.000000,bottom
"R20","ERJ-1GNF3741C","R_0201_0603Metric_ERJ_L",-5.553940,-26.009160,180.000000,bottom
"R21","ERJ-1GNJ622C","R_0201_0603Metric_ERJ_L",-6.073940,-31.584160,0.000000,bottom
"R22","ERJ-1GNF3741C","R_0201_0603Metric_ERJ_L",-6.073940,-30.944160,180.000000,bottom
"U3","SC189ZULTRT","SON_7P50_200X200X57L35X24T170X80N",-10.472280,-31.708960,90.000000,bottom
"U4","NCV8154MW180280TBG","DFN10_3x3_11P50_300X300X100L40X24T250X180N",-10.881040,-28.566380,90.000000,bottom
"U8","MT9P031I12STM-DP","iLCC48P70_1000X1000X135L80X40N",-22.317300,-29.845980,180.000000,bottom
"U9","TPL0102-100RUCR","QFN_14_P40_200X200X40L40X20L",-6.155940,-28.253160,-90.000000,bottom
