Reference,Value,Note,Qty,Footprint
"C1,C2,C14,C20,C34,C40",GRM155R60J106ME15D,10uF,6,CM2:C_0402_1005Metric_L
"C3,C8,C11,C15,C17,C22,C27,C29,C30,C31,C32,C33,C35,C36,C37,C39,C41,C43,C51,C52",GRM033R61A104ME15D,0.1uF,20,CM2:C_0201_0603Metric_L
C4,GRM033R61C473KE84D,0.047uF,1,CM2:C_0201_0603Metric_L
"C5,C6,C47,C48",GRM033R61A225ME47D,2.2uF,4,CM2:C_0201_0603Metric_L
"C7,C10",GRM155R60J475ME87D,4.7uF,2,CM2:C_0402_1005Metric_L
"C9,C12,C16,C18,C23,C42,C44",GRM033R71A103KA01D,10nF,7,CM2:C_0201_0603Metric_L
"C13,C24,C25,C26,C28,C38,C45",GRM033R61A105ME15D,1uF,7,CM2:C_0201_0603Metric_L
C19,GRM21BR61A476ME15L,47uF,1,CM2:C_0805_2012Metric_L
C21,GRM158C80G226ME01J,22uF,1,CM2:C_0402_1005Metric_L
D19,LED 0402,,1,CM2:LED_0402_1005Metric
J2,FH19C-5S-0.5SH(10),,1,CM2:FH19C-5S-0.5SH(10)
J_coax1,U.FL-R-SMT-1(10),,1,CM2:Coax_Conn_U.FL
"L1,L4,L5",BLM15HD102SN1D,1kohm,3,CM2:L_0402_1005Metric
L2,ADL3225V-470MT-TL000,47uH,1,CM2:L_1210_3225Metric_L
L6,LQM2HPN1R0MG0,,1,CM2:L_1008_2520Metric_L
R1,ERJ-1GNF1801C,1.8k,1,CM2:R_0201_0603Metric_ERJ_L
R2,ERJ-1GNF49R9C,49.9,1,CM2:R_0201_0603Metric_ERJ_L
"R3,R7,R9,R10",ERJ-1GNF1022C,10.2k,4,CM2:R_0201_0603Metric_ERJ_L
R4,ERJ-1GNF1003C,100k,1,CM2:R_0201_0603Metric_ERJ_L
R5,RC0201FR-076K49L,6.49k,1,CM2:R_0201_0603Metric_ERJ_L
R12,1k,1k,1,CM2:R_0201_0603Metric_ERJ_L
R13,500,500,1,CM2:R_0201_0603Metric_ERJ_L
"R14,R15",ERJ-1GNF3321C,3.32k,2,CM2:R_0201_0603Metric_ERJ_L
R18,RC-01W1962FT,19.6k,1,CM2:R_0201_0603Metric_ERJ_L
"R19,R21",ERJ-1GNJ622C,6.2k,2,CM2:R_0201_0603Metric_ERJ_L
"R20,R22",ERJ-1GNF3741C,3.74k,2,CM2:R_0201_0603Metric_ERJ_L
U1,DS90UB913ATRTVTQ1,,1,CM2:QFN_33_P50_500X500X80L40X24T310L
U2,LTC3217EUD_TRPBF,,1,CM2:HVQFN-16-1EP_3x3mm_P0.5mm_EP1.5x1.5mm
U3,SC189ZULTRT,,1,CM2:SON_7P50_200X200X57L35X24T170X80N
U4,NCV8154MW180280TBG,,1,CM2:DFN10_3x3_11P50_300X300X100L40X24T250X180N
U5,BNO055,,1,CM2:LGA-28_5.2x3.8mm_P0.5mm
U6,SG-210STF 66.6667ML3,,1,CM2:OSC_CC250X200X80L70X75L
U8,MT9P031I12STM-DP,,1,CM2:iLCC48P70_1000X1000X135L80X40N
U9,TPL0102-100RUCR,,1,CM2:QFN_14_P40_200X200X40L40X20L
